testing: 12 threads
running ans_2opt_omp2
Working on ../as_1/dis_dir/test11.dis
OpenMP version of ans_2opt_sp11.c
* Balanced search space division/Proper/Partial distance compare/Copy when swapping
* OpenMP Distributed route/Free to swap/Contention pause
Using  12 threads
Distance @  5:30 = 178957104164.322327
Distance @  5:30 = 178957104164.322327
Distance @  5:30 = 178957104164.322327
Distance @  5:30 = 178957104164.322327
Distance @  5:30 = 178957104164.322327
Distance @  5:30 = 178957104164.322327
Distance @  5:30 = 178957104164.322327
Distance @  5:30 = 178957104164.322327
Distance @  5:30 = 178957104164.322327
Distance @  5:30 = 178957104164.322327
Distance @  5:30 = 178957104164.322327
Distance @  5:30 = 178957104164.322327
Distance @  5:30 = 178957104164.322327
Distance @  5:30 = 178957104164.322327
Distance @  5:30 = 178957104164.322327
Distance @  5:30 = 178957104164.322327
Distance @  5:30 = 178957104164.322327
Distance @  5:30 = 178957104164.322327
Distance @  5:30 = 178957104164.322327
Distance @  5:30 = 178957104164.322327
Distance @  5:30 = 178957104164.322327
Distance @  5:30 = 178957104164.322327
Distance @  5:30 = 178957104164.322327
Distance @  5:30 = 178957104164.322327
Distance @  5:30 = 178957104164.322327
Distance @  5:30 = 178957104164.322327
Distance @  5:30 = 178957104164.322327
Distance @  5:30 = 178957104164.322327
Distance @  5:30 = 178957104164.322327
Distance @  5:30 = 178957104164.322327
Distance @  5:30 = 178957104164.322327
Distance @  5:30 = 178957104164.322327
Distance @  5:30 = 178957104164.322327
Distance @  5:30 = 178957104164.322327
Distance @  5:30 = 178957104164.322327
Distance @  5:30 = 178957104164.322327
Distance @  5:30 = 178957104164.322327
Distance @  5:30 = 178957104164.322327
Distance @  5:30 = 178957104164.322327
Distance @  5:30 = 178957104164.322327
Distance @  5:30 = 178957104164.322327
Distance @  5:30 = 178957104164.322327
Distance @  5:30 = 178957104164.322327
Distance @  6:00 = 170941248808.601440
Distance @  6:00 = 170939750396.968384
Distance @  6:00 = 170939750396.968384
Distance @  6:00 = 170939750396.968384
Distance @  6:00 = 170939750396.968384
Distance @  6:00 = 170939750396.968384
Distance @  6:00 = 170939750396.968384
Distance @  6:00 = 170939750396.968384
Distance @  6:00 = 170939750396.968384
Distance @  6:00 = 170939750396.968384
Distance @  6:00 = 170939750396.968384
Distance @  6:00 = 170939750396.968384
Distance @  6:00 = 170939750396.968384
Distance @  6:00 = 170939750396.968384
Distance @  6:00 = 170939750396.968384
Distance @  6:00 = 170939750396.968384
Distance @  6:00 = 170939750396.968384
Distance @  6:00 = 170939750396.968384
Distance @  6:00 = 170939750396.968384
Distance @  6:00 = 170939750396.968384
Distance @  6:00 = 170939750396.968384
Distance @  6:00 = 170939750396.968384
Distance @  6:00 = 170939750396.968384
Distance @  6:00 = 170939750396.968384
Distance @  6:00 = 170939750396.968384
Distance @  6:00 = 170939750396.968384
Distance @  6:00 = 170939750396.968384
Distance @  6:00 = 170939750396.968384
Distance @  6:00 = 170939750396.968384
Distance @  6:00 = 170939750396.968384
Distance @  6:00 = 170939750396.968384
Distance @  6:00 = 170939750396.968384
Distance @  6:00 = 170939750396.968384
Distance @  6:00 = 170939750396.968384
Distance @  6:00 = 170939750396.968384
Distance @  6:00 = 170939750396.968384
Distance @  6:00 = 170939750396.968384
Distance @  6:00 = 170939750396.968384
Distance @  6:00 = 170939750396.968384
Distance @  6:00 = 170939750396.968384
Distance @  6:00 = 170939750396.968384
Distance @  6:00 = 170939750396.968384
Distance @  6:00 = 170939750396.968384
Distance @  6:00 = 170939750396.968384
Distance @  6:00 = 170939750396.968384
Distance @  6:00 = 170939750396.968384
Distance @  6:00 = 170939750396.968384
Distance @  6:30 = 163829086012.650269
Distance @  6:30 = 163820479250.182739
Distance @  6:30 = 163818016842.573883
Distance @  6:30 = 163818016842.573883
Distance @  6:30 = 163818016842.573883
Distance @  6:30 = 163818016842.573883
Distance @  6:30 = 163818016842.573883
Distance @  6:30 = 163818016842.573883
Distance @  6:30 = 163818016842.573883
Distance @  6:30 = 163818016842.573883
Distance @  6:30 = 163818016842.573883
Distance @  6:30 = 163818016842.573883
Distance @  6:30 = 163818016842.573883
Distance @  6:30 = 163818016842.573883
Distance @  6:30 = 163818016842.573883
Distance @  6:30 = 163818016842.573883
Distance @  6:30 = 163818016842.573883
Distance @  6:30 = 163818016842.573883
Distance @  6:30 = 163818016842.573883
Distance @  6:30 = 163818016842.573883
Distance @  6:30 = 163818016842.573883
Distance @  6:30 = 163818016842.573883
Distance @  6:30 = 163818016842.573883
Distance @  6:30 = 163818016842.573883
Distance @  6:30 = 163818016842.573883
Distance @  6:30 = 163818016842.573883
Distance @  6:30 = 163818016842.573883
Distance @  6:30 = 163818016842.573883
Distance @  6:30 = 163818016842.573883
Distance @  6:30 = 163818016842.573883
Distance @  6:30 = 163818016842.573883
Distance @  6:30 = 163818016842.573883
Distance @  6:30 = 163818016842.573883
Distance @  6:30 = 163818016842.573883
Distance @  6:30 = 163818016842.573883
Distance @  6:30 = 163818016842.573883
Distance @  6:30 = 163818016842.573883
